movieId,movieName,Date,Director,Actor,Length,Country
344929,前任3：再见前任,2017-12-29,田羽生,韩庚、郑恺、于文文、曾梦雪,119.0,中国大陆
1170264,芳华,2017-12-15,冯小刚,黄轩、苗苗、钟楚曦、杨采钰,136.0,中国大陆
1200984,妖铃铃,2017-12-29,吴君如,吴君如、沈腾、岳云鹏、张译,88.0,"中国大陆,中国香港"
368135,二代妖精之今生有幸,2017-12-29,肖洋,冯绍峰、刘亦菲、李光洁、郭京飞,110.0,中国大陆
343945,解忧杂货店,2017-12-29,韩杰,王俊凯、迪丽热巴、董子健、李鸿其,109.0,"中国大陆,中国香港"
345862,妖猫传,2017-12-22,陈凯歌,周雨、黄轩、染谷将太、张雨绮,129.0,"中国大陆,日本"
342068,寻梦环游记,2017-11-24,李·昂克里奇,安东尼·冈萨雷斯、本杰明·布拉特、盖尔·加西亚·贝纳尔、李·昂克里奇,105.0,美国
655258,机器之血,2017-12-22,张立嘉,成龙、罗志祥、欧阳娜娜、夏侯云姗,110.0,"中国大陆,中国台湾"
343905,帕丁顿熊2,2017-12-08,保罗·金,本·威士肖、杜江、休·格兰特、莎莉·霍金斯,103.0,"英国,法国,美国"
1197732,心理罪之城市之光,2017-12-22,徐纪周,邓超、阮经天、宋晓军、刘诗诗,124.0,中国大陆
1212450,小猫巴克里,2017-12-30,邱立伟,郭馨雅、林佑俽、屈中恒、蒋笃慧,86.0,中国台湾
1211570,咕噜咕噜美人鱼2,2017-12-30,杨广福,丁莹莹、杨进、卢瑶、苏子芜,92.0,中国大陆
337443,至爱梵高·星空之谜,2017-12-08,多洛塔·科别拉,道格拉斯·布斯、赵天宇、罗伯特·古拉奇克、多洛塔·科别拉,95.0,"英国,波兰"
344183,奇门遁甲,2017-12-14,袁和平,大鹏、倪妮、李治廷、周冬雨,113.0,"中国大陆,中国香港"
1204720,妈妈咪鸭,2018-03-09,赵锐,赵路、武皓栋、殷筱瑜、赵锐,90.0,"中国大陆,美国"
346625,至暗时刻,2017-12-01,乔·赖特,加里·奥德曼、克里斯汀·斯科特·托马斯、莉莉·詹姆斯、本·门德尔森,125.0,"英国,美国"
1135401,咖啡风暴,2017-12-30,克里斯蒂亚诺·博尔托内,米瑞安·达尔马兹欧、谭卓、芦芳生、黎一墨,110.0,"中国大陆,意大利,比利时"
342568,诡梦凶铃,2016-09-23,邓安东,方力申、李斯丹妮、王馨彤、何映桥,90.0,中国大陆
341195,正义联盟,2017-11-17,扎克·施奈德,本·阿弗莱克、亨利·卡维尔、盖尔·加朵、杰森·莫玛,120.0,美国
1212376,惊魂七夜,2017-12-21,喻彬,陈美行、曾帅、濡雪、沈凯,90.0,中国大陆
342362,相声大电影之我要幸福,2017-12-01,张栾,郭德纲、于谦、岳云鹏、郭麒麟,92.0,中国大陆
344422,东方快车谋杀案,2017-11-10,肯尼思·布拉纳,肯尼思·布拉纳、刘风、约翰尼·德普、王千源,114.0,"美国,马耳他"
1208145,笔仙咒怨,2017-12-01,邓安东,罗翔、江兰萱、俞晓晔、马卉,96.0,中国大陆
618704,七十七天,2017-11-03,赵汉唐,江一燕、赵汉唐、达哇桑周、洛桑群培,115.0,中国大陆
342109,咕噜咕噜美人鱼,2015-12-12,杨广福,张美娟、刘若班、赵梦娇、陈大刚,90.0,中国大陆
344661,邹碧华,2017-11-20,王兴东,王诗槐、刘小锋、王兴东、田水泉,88.0,中国大陆
1206402,圣诞奇妙公司,2017-12-15,阿兰·夏巴,阿兰·夏巴、奥黛丽·塔图、皮奥·马麦、格什菲·法拉哈尼,99.0,法国
1203120,巨额来电,2017-12-08,彭顺,陈学冬、张孝全、桂纶镁、蒋梦婕,123.0,"中国大陆,中国香港"
247948,星球大战：最后的绝地武士,2018-01-05,莱恩·约翰逊,黛西·雷德利、约翰·博耶加、奥斯卡·伊萨克、亚当·德赖弗,152.0,美国
1211089,北平以北,2017-12-08,艾辛,方亮,99.0,中国大陆
343447,尼斯：疯狂的心,2018-01-05,罗伯托·柏林厄,格劳瑞·皮尔丝、罗伯塔·罗德里格斯、费尔南多·埃拉斯、法布里肖·博利韦拉,109.0,巴西
1211465,醉佳导演,2018-01-05,武圣基,贺军翔、江若琳、刘宇、姚橹,89.0,中国大陆
1209177,南哥,2017-10-17,郑华,茹萍、艾丽娅、郑华、潘钧,91.0,中国大陆
672130,奇迹男孩,2018-01-19,斯蒂芬·卓博斯基,雅各布·特瑞布雷、朱莉娅·罗伯茨、欧文·威尔逊、伊扎贝拉·维多维奇,113.0,"美国,中国香港"
1209260,卧底巨星,2018-01-12,谷德昭,陈奕迅、李荣浩、李一桐、陈国坤,98.0,"中国大陆,中国香港"
1211555,天籁梦想,2018-01-09,张唯,落松土登、噶玛松姆、益西旦增、班玛久买,85.0,中国大陆
1211063,太空救援,2018-01-12,克利姆·希片科,弗拉季米尔·弗多维琴科夫、柳波芙·阿克肖诺娃、欧克萨娜·范德拉、玛丽亚·米罗诺娃,104.0,俄罗斯
341897,勇敢者游戏：决战丛林,2018-01-12,杰克·卡斯丹,道恩·强森、凯文·哈特、杰克·布莱克、凯伦·吉兰,119.0,美国
1200609,大世界,2018-01-12,刘健,朱昌龙、曹恺、曹寇、薛峰,77.0,中国大陆
71946,无问西东,2018-01-12,李芳芳,章子怡、黄晓明、王力宏、张震,138.0,中国大陆
344453,整形师·脸,2016-05-20,黄军,浦蒲、李雯雯、方慧、刘天佐,101.0,中国大陆
1210956,童话先生,2017-10-24,李宗泰,曹操、王静博、甫枭虎、蒋欣枚,90.0,中国大陆
329733,迷镇凶案,2018-01-12,乔治·克鲁尼,马特·达蒙、朱丽安·摩尔、奥斯卡·伊萨克、诺亚·尤佩,105.0,"美国,英国"
1211693,时空终点,2018-01-12,叶小舟,欧阳佳、高翔、雷诺儿、马筱哲,95.0,中国大陆
1208122,神秘巨星,2018-01-19,阿德瓦·香登,阿米尔·汗、塞伊拉·沃西、拉杰·阿晶、法如克·贾法尔,150.0,印度
493549,大寒,2018-08-14,张跃平,张双兵、鲁园、许薇、李可,110.0,中国大陆
346180,青蛙总动员,2016-04-30,杨仁贤,吉静、郭政建、白涛、杨仁贤,74.0,"中国大陆,中国台湾"
343887,守信少年,2015-09-01,齐为民,黑妹、王晓曦、郑雪、储小鹏,100.0,中国大陆
78537,我的影子在奔跑,2018-01-16,方刚亮,张静初、龙品旭、黎兆丰、王同辉,93.0,中国大陆
341323,一个人的课堂,2018-01-16,李军林,孙海英、韩三明、王乃训、宋四维,105.0,中国大陆
1212628,只想好好和你在一起,2018-01-05,屈珂羽,杨小璇、郑淑贤、周婧、刘嘉芮,95.0,中国大陆
1048288,英雄本色2018,2018-01-18,丁晟,王凯、马天宇、王大陆、余皑磊,110.0,中国大陆
344771,谜巢,2018-01-19,金波·兰道,李冰冰、凯南·鲁兹、吴尊、凯尔希·格兰莫,90.0,"中国大陆,澳大利亚"
828745,公牛历险记,2018-01-19,卡洛斯·沙尔丹哈,约翰·塞纳、莉莉·戴、凯特·麦克金农、安东尼·安德森,108.0,美国
344080,第一夫人,2018-01-19,帕布罗·拉雷恩,娜塔莉·波特曼、彼得·萨斯加德、格蕾塔·葛韦格、比利·克鲁德普,100.0,"美国,法国,智利"
1212519,芒刺,2018-01-16,陈俊霖,隋名旸、石峄、程小夏、赵芙丽,88.0,中国大陆
344323,S4侠降魔记,2018-01-26,李克龙,刘小光、文松、黄俊鹏、王雅捷,98.0,中国大陆
1170247,你在哪,2017-11-30,樊昊仑,景珂、樊昊仑、上白、周韵茹,100.0,中国大陆
1213065,柳毅奇缘,2018-01-18,邓原,丁凡、曾小敏、彭庆华、邓原,112.0,中国大陆
337226,我们诞生在中国,2016-08-12,陆川,周迅、约翰·卡拉辛斯基、Jo Frost、克莱尔·凯姆,79.0,"美国,英国,中国大陆"
345063,大象林旺之一炮成名,2017-08-04,李涛歌,宋晓宇、李垚、徐炜、葛平,77.0,中国大陆
344264,战狼2,2017-07-27,吴京,吴京、弗兰克·格里罗、吴刚、张翰,123.0,中国大陆
1199974,大雪冬至,2018-01-25,邢潇,祝希娟、李金斗、张桐、赵婉瑜,87.0,中国大陆
1203355,领袖1935,2017-03-28,周琦,刘劲、王晖、吴京安、周琦,104.0,中国大陆
343793,村戏,2018-03-17,郑大圣,李志兵、梁春柱、王春明、吕爱华,100.0,中国大陆
1211086,敦煌不了情,2018-12-07,郭宜林,林保怡、梦丽、曹操、赵圆圆,92.0,中国大陆
558308,绝命时钟2:22,2018-01-26,保罗·柯瑞,米希尔·赫伊斯曼、泰莉莎·帕尔墨、萨姆·里德、梅芙·德莫迪,98.0,"美国,澳大利亚"
78230,告诉他们，我随白鹤去了,2012-09-05,李睿珺,马新春、汤龙、王思懿、张敏,99.0,中国大陆
1213016,天使的声音,2018-01-20,和成,王倩、杨正驰、石菲、张艺杰,92.0,中国大陆
338493,南极之恋,2018-02-01,吴有音,赵又廷、杨子姗、白雪、Sun Di,117.0,中国大陆
1197625,血战湘江,2017-06-30,陈力,王霙、保剑锋、董勇、张一山,118.0,中国大陆
345963,阿里巴巴2所罗门封印,2016-04-30,郑成峰,丁妍、叶芳、杨进、孙科,81.0,中国大陆
248639,移动迷宫3：死亡解药,2018-01-26,韦斯·鲍尔,迪伦·奥布莱恩、卡雅·斯考达里奥、托马斯·布罗迪-桑斯特、李起弘,142.0,美国
643506,古镇画情,2009-12-31,,韩夫一,,中国大陆
319904,盛世秧歌,2007-12-31,孙小茹,季晨、朱子岩、李庆友,,中国大陆
1200675,玛格丽特的春天,2017-03-10,王宁,艾伦、王自健、田亮、胡杏儿,90.0,中国大陆
475721,24小时：末路重生,2018-01-26,布莱恩·斯莫兹,伊桑·霍克、许晴、利亚姆·坎宁安、鲁特格尔·哈尔,93.0,"美国,中国大陆,南非"
652628,五度空间,2018-01-26,夏克平,邹东孝、梁超、侯京健、夏克平,88.0,中国大陆
1211482,熊出没·变形记,2018-02-16,丁亮,谭笑、贝丝·比厄、丁亮、林汇达,89.0,中国大陆
341540,麦兵兵之夺宝联“萌”,2018-01-27,胡鹤译,萌猪、张震、大鹅、李侥,87.0,中国大陆
246714,马戏之王,2018-02-01,迈克尔·格雷西,休·杰克曼、扎克·埃夫隆、米歇尔·威廉姆斯、丽贝卡·弗格森,105.0,美国
1212533,金龟子,2018-02-02,丁实,刘纯燕、杨晨、王宁、刘波,77.0,中国大陆
343526,我是哪吒,2016-10-01,舒展,陶典、韩娇娇、刘垚、彭博,83.0,中国大陆
1189346,时空偷渡少女,2018-02-01,吴琴,王安琪、王晨、高寒、高嵩,92.0,中国大陆
1212979,小狗奶瓶,2018-02-02,彭力,奶瓶、康潇诺、魏子涵、高婷婷,91.0,中国大陆
1208748,小马宝莉大电影,2018-02-02,杰森·西森,乌佐·阿杜巴、艾米莉·布朗特、克里斯汀·肯诺恩斯、塔拉·斯特朗,99.0,"美国,加拿大"
1210930,梭哈人生,2018-01-30,郑来志,谭杰希、施予斐、赵樱子、孟智超,90.0,中国大陆
1212787,坏爸爸,2018-02-02,兰城序,邵兵、孙绍龙、赵圆圆、孔琳,92.0,中国大陆
1136547,疯狂丑小鸭,2016-10-03,郑成峰,王雪沁、杨进、张洋、郑成峰,81.0,中国大陆
342869,青春逗,2017-10-20,郑仕明,姜潮、张嘉倪、金恩圣、马春瑞,97.0,中国大陆
262872,珍珠塔,2016-02-05,,倪同芳、周东亮、张金华、董云华,,中国大陆
1208343,毕业旅行笑翻天,2018-02-01,胡圣亚,邱胜翊、王栎鑫、胡圣亚、张毅,98.0,"中国大陆,中国台湾"
1204714,忌日快乐,2018-02-02,克里斯托弗·兰登,杰西卡·罗德、伊瑟尔·布罗萨德、露比·莫迪恩、查尔斯·艾特肯,96.0,美国
330115,我和神马查干,2012-12-05,侯克明,,90.0,中国大陆
1203768,浪矢解忧杂货店,2018-02-02,广木隆一,山田凉介、尾野真千子、村上虹郎、林遣都,129.0,日本
338463,西游记女儿国,2018-02-16,郑保瑞,郭富城、冯绍峰、赵丽颖、小沈阳,116.0,"中国大陆,中国香港"
487449,心灵的阳光,2011-12-31,,周浩东、苗苗、霍泥芳,,中国大陆
1177952,狗狗的疯狂假期,2018-02-02,阿尔韦托·罗德里格斯,丹尼·罗维拉、何塞·莫塔、阿尔韦托·罗德里格斯、阿尔贝托·罗德里格,90.0,西班牙
858598,莫斯科陷落,2018-02-02,费奥多尔·邦达尔丘克,伊琳娜·斯达申鲍姆、欧列格·缅希科夫、谢尔盖·加尔马什、奥列格·缅希科夫,132.0,俄罗斯
1204800,余额不足,2018-02-02,卫捷,柯伯龙、闫鹿杨、左腾云、王多多,97.0,中国大陆
341999,盲·道,2018-02-02,李杨,李杨、杜函梦、胡明、钱哆多,110.0,中国大陆
345011,建军大业,2017-07-27,刘伟强,刘烨、朱亚文、黄志忠、王景春,133.0,中国大陆
1182552,红海行动,2018-02-16,林超贤,张译、黄景瑜、海清、杜江,138.0,"中国大陆,中国香港"
1199446,泡芙小姐,2018-02-09,张歆艺,张歆艺、王艳洁、王栎鑫、谭维维,96.0,中国大陆
1212982,人怕出名猪怕壮,2018-02-20,彭建伟,沈伐、岳红、朱子岩、黄梁宇,97.0,中国大陆
343944,太空熊猫英雄归来,2016-04-02,郑成峰,丁妍、王亚林、叶芳、王雪沁,81.0,中国大陆
1213080,疯狂熊孩子,2018-02-09,李振,王一鸣、吴军、李屹伦、张博,88.0,中国大陆
1157354,大导归来,2018-02-09,李诚儒,李诚儒、王姬、张桐、于金源,95.0,中国大陆
1213057,无迹可寻,2018-02-09,张帆,宋洋、李晓红、蒋一铭、淳于珊珊,90.0,中国大陆
340946,纯洁心灵·逐梦演艺圈,2018-02-09,毕志飞,毕志飞、朱一文、李彦漫、张芷榕,98.0,中国大陆
13457,龙凤斗,2018-02-10,杜琪峰,刘德华、郑秀文、吴嘉龙、林家栋,91.0,中国香港
667783,爱在记忆消逝前,2018-02-23,保罗·维尔齐,海伦·米伦、唐纳德·萨瑟兰、简·默勒尼、克里斯蒂·米切尔,112.0,"意大利,法国"
1217159,爱情的单程列车,2018-02-14,张雷,范军、李月、郑亚龙、王倚天,90.0,中国大陆
836,毕业那年,2012-09-21,姚宇,叶青青、顾莉雅、朱文超、王仲欣,88.0,中国大陆
343136,小萝莉的猴神大叔,2018-03-02,卡比尔·汗,萨尔曼·汗、卡琳娜·卡普、哈莎莉·马洛特拉、纳瓦祖丁·席迪圭,141.0,印度
1211538,祖宗十九代,2018-02-16,郭德纲,岳云鹏、吴京、吴秀波、井柏然,95.0,中国大陆
344990,唐人街探案2,2018-02-16,陈思诚,王宝强、刘昊然、肖央、刘承羽,120.0,中国大陆
346272,捉妖记2,2018-02-16,许诚毅,梁朝伟、白百何、井柏然、李宇春,110.0,"中国大陆,中国香港"
342754,三块广告牌,2018-03-02,马丁·麦克唐纳,弗兰西斯·麦克多蒙德、伍迪·哈里森、山姆·洛克威尔、艾比·考尼什,115.0,"美国,英国"
343762,比得兔,2018-03-02,威尔·古勒,詹姆斯·柯登、多姆纳尔·格里森、萝丝·拜恩、玛歌特·罗比,95.0,美国
1203436,金钱世界,2018-03-02,雷德利·斯科特,米歇尔·威廉姆斯、克里斯托弗·普卢默、马克·沃尔伯格、查理·普拉默,124.0,"美国,英国"
247083,闺蜜2,2018-03-02,黄真真,陈意涵、张钧甯、薛凯琪、王水林,109.0,"中国香港,中国大陆"
1196183,翻滚吧姐妹,2018-03-01,王钲,冯铭潮、赵多娜、陈美行、厉娜,87.0,中国大陆
1132373,宇宙有爱浪漫同游,2018-03-02,陈思行,郭碧婷、白冰、陈思行、陈加玲,92.0,中国香港
1217637,厉害了，我的国,2018-03-02,卫铁,,90.0,中国大陆
1213237,落绕,2018-03-02,侯翀,王艺曈、周杰、李虎城、杜建桥,94.0,中国大陆
337191,妄想症,2016-05-06,彭发,周柏豪、安琥、洪辰、程媛媛,90.0,"中国大陆,中国香港"
344742,完美有多美,2017-02-17,梁栋,姜武、蒋勤勤、朱旭、李乃文,92.0,中国大陆
1201381,恋爱回旋,2018-03-09,石川淳一,新垣结衣、永山瑛太、广末凉子、远藤宪一,119.0,日本
341138,黑豹,2018-03-09,瑞恩·库格勒,查德维克·博斯曼、迈克尔·B·乔丹、露皮塔·尼永奥、丹娜·奎里拉,134.0,"美国,南非,韩国,澳大利亚"
642167,飞鸟历险记,2018-03-08,克里斯蒂安·德·维塔,亚瑟·杜彭、莎拉·弗里斯蒂、布鲁诺·萨拉曼、皮埃尔·里夏尔,91.0,法国
1212413,大坏狐狸的故事,2018-03-16,本杰明·雷内,纪尧姆·达尔诺、鲍里斯·雷林格、席琳·荣特、本杰明·雷内,83.0,法国
344540,灵魂当铺之时间典当,2018-03-09,刘赫尧,姚奕辰、乔乔、曹卫宇、蒋方婷,86.0,中国大陆
367767,十七后 与青春化敌为友,2018-03-16,罗颂其,中泽祥、翁滋蔓、高艺、罗颂其,90.0,"中国大陆,中国台湾"
345991,暴裂无声,2018-04-04,忻钰坤,宋洋、姜武、袁文康、谭卓,120.0,中国大陆
1204622,水形物语,2018-03-16,吉尔莫·德尔·托罗,莎莉·霍金斯、迈克尔·珊农、理查德·詹金斯、道格·琼斯,123.0,美国
257739,古墓丽影：源起之战,2018-03-16,罗阿尔·乌索格,艾丽西亚·维坎德、多米尼克·威斯特、沃尔顿·戈金斯、吴彦祖,118.0,美国
1205320,玲珑井,2018-03-16,海鹏,宋睿、罗翔、曾漪莲、余爱笑,81.0,中国大陆
328844,虎皮萌企鹅,2018-03-16,大卫阿拉克斯,保罗·鲍恩、菲利普·波佐、帕斯卡尔·卡萨诺瓦、Emmanuel Curtil,97.0,法国
344043,圣诞大赢家,2015-12-12,殷玉麒,洛如菲、宝木中阳、阿杰、殷玉麒,85.0,中国大陆
1200978,遇见你真好,2018-03-29,顾长卫,白客、蓝盈莹、张海宇、周楚濋,99.0,中国大陆
1210870,光影之战,2017-10-04,陈钺晖,连诗雅、向俞星、范薇、陈怡凡,96.0,中国大陆
78460,环太平洋：雷霆再起,2018-03-23,斯蒂文·S·迪奈特,约翰·博耶加、斯科特·伊斯特伍德、景甜、卡莉·史派妮,111.0,美国
344164,脱皮爸爸,2018-03-23,司徒慧焯,吴镇宇、古天乐、春夏、蔡洁,105.0,"中国大陆,中国香港"
568602,无眸之杀,2018-03-23,沈嵘,洪秀儿、李雅男、袁伶嫣、于非,82.0,中国大陆
1132273,青春24秒,2018-03-23,季钢,黄俊捷、魏晚秋、闫露娢、陈诚,85.0,中国大陆
1182417,萌犬好声音,2018-03-24,罗伯特·文斯,麦肯泽·摩斯、杰德·瑞斯、大卫·德路易斯、卡拉·吉门内斯,92.0,加拿大
345593,三伏天,2018-03-30,乔丹·席勒,黄璐、罗蓝山、田牧宸,96.0,中国大陆
1180993,花滑女王,2018-03-30,奥列格·特罗费姆,阿格莱亚·塔拉索娃、亚历山大·佩特罗夫、米洛斯·比柯维奇、瑟妮娅·拉芙洛娃-格林卡,113.0,俄罗斯
1217885,玩命,2018-03-30,李炳渊,李炳渊、大卫·贝尔、李炳雷、黄译萱,88.0,中国大陆
410641,我说的都是真的,2018-03-30,刘仪伟,小沈阳、陈意涵、吴樾、罗海琼,99.0,中国大陆
672184,中邪,2016-07-23,马凯,董天文、何佳、赵树达、文中学,110.0,中国大陆
1200245,第三度嫌疑人,2018-03-30,是枝裕和,福山雅治、役所广司、广濑铃、满岛真之介,124.0,日本
341178,头号玩家,2018-03-30,史蒂文·斯皮尔伯格,泰伊·谢里丹、奥利维亚·库克、本·门德尔森、丽娜·维特,140.0,美国
342900,通勤营救,2018-03-30,佐米·希尔拉,连姆·尼森、维拉·法梅加、帕特里克·威尔森、乔纳森·班克斯,104.0,"美国,英国"
1212248,爱的帕斯卡,2018-03-30,刘海,许还山、周知、奚美娟、王栎鑫,97.0,中国大陆
1217727,河间圣手,2018-03-29,孙爱国,杨子骅、孟晓涵、张学仁、杨千里,92.0,中国大陆
881837,起跑线,2018-04-04,萨基特·乔杜里,伊尔凡·可汗、萨巴·卡玛尔、内哈·迪胡皮阿、迪帕克·迪布里亚尔,132.0,印度
341941,冰雪女王3：火与冰,2018-04-05,阿列克谢·特斯蒂斯林,杰森·格里菲斯、劳里·海梅斯、迪·布拉雷·贝克尔、瓦内莎·约翰逊,90.0,俄罗斯
1213193,猫与桃花源,2018-04-05,王微,李宇峰、杨砚铎、周华健、张喆,105.0,中国大陆
344551,清水里的刀子,2018-04-04,王学博,马子善、耶而古拜、周进花、马志林,93.0,中国大陆
248916,铁道飞虎,2016-12-23,丁晟,成龙、昱霖、黄子韬、房祖名,124.0,中国大陆
343176,奇葩朵朵,2018-04-04,李欣,张若昀、马思纯、李现、李欣,98.0,中国大陆
1212344,凌晨两点半,2018-04-13,王静儿,陈美行、周庚禹、王子航、李哲羽,86.0,中国大陆
338426,湮灭,2018-04-13,亚历克斯·嘉兰,娜塔莉·波特曼、詹妮弗·杰森·李、吉娜·罗德里格兹、泰莎·汤普森,114.0,"美国,英国"
344995,我只认识你,2017-11-17,赵青,树锋、味芳,78.0,中国大陆
341624,狂暴巨兽,2018-04-13,布拉德·佩顿,道恩·强森、娜奥米·哈里斯、杰弗里·迪恩·摩根、玛琳·阿克曼,107.0,美国
635848,深宫怨灵,2017-11-17,司徒永华,凯蒂·萨瓦、克瑞姆·柏辛、凯瑟琳·希金斯、陈钰芸,87.0,"中国大陆,美国,英国"
1183637,黄金花,2018-04-28,陈大利,毛舜筠、凌文龙、吕良伟、刘美君,91.0,"中国大陆,中国香港"
468676,爸爸的木房子,2016-08-26,李得胜,杜雨露、朱丹、曹操、李得胜,99.0,中国大陆
1212518,西北风云,2018-04-13,黄璜,余男、任达华、高捷、彭敬慈,96.0,中国大陆
246835,寻找罗麦,2018-04-13,王超,韩庚、杰瑞米·埃尔卡伊姆、菅纫姿、海伦·文森特,83.0,"中国大陆,法国"
345000,毕业作品,2018-04-13,许斌,张一山、丁丁、朱泳腾、白海涛,86.0,中国大陆
337105,夺命来电,2018-04-13,托德·威廉姆斯,约翰·库萨克、塞缪尔·杰克逊、伊莎贝拉·弗尔曼、克拉克·萨鲁洛,98.0,美国
345663,超能太阳鸭,2016-07-15,维克多·拉基索夫,王栎鑫、昱霖、陈思、迈克尔·格罗斯,86.0,"俄罗斯,美国,中国大陆"
344162,脱单告急,2018-04-20,柯孟融,董子健、钟楚曦、春夏、袁福福,101.0,中国大陆
1218424,二师兄来了,2018-04-13,朱丹,杜旭东、刘江、王菀晨、李明,93.0,中国大陆
1207100,米花之味,2018-04-20,鹏飞,英泽、叶不勒、叶门、叶拼,95.0,中国大陆
1199188,犬之岛,2018-04-20,韦斯·安德森,布莱恩·科兰斯顿、朱亚文、爱德华·哈里森·诺顿、比尔·默瑞,97.0,美国
344950,21克拉,2018-04-20,何念,郭京飞、迪丽热巴、大鹏、包贝尔,96.0,中国大陆
1218422,壹号别墅,2018-04-19,王保国,项洪、侯宇航、林诗曈、关键,89.0,中国大陆
1218421,理想之路,2018-04-20,柯宙,史洪波、张乃元、王钧康、林伟,88.0,中国大陆
337093,龙在哪里？,2015-10-23,胡升忠,章子怡、王力宏、光良、胡升忠,97.0,"中国大陆,中国香港"
1218563,求求你爱上我,2018-04-20,董春泽,姜涛、钱冬旎、尚茜、傅亨,104.0,中国大陆
346336,冰封迷案,2018-04-20,唐宇,卫仑、黄米依、何靖、韩秋池,95.0,中国大陆
